,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.68,0.36,0.0,0.01,0.01,0.0,0,0.0,0
1,0.76,0.52,0.0,0.55,0.1,0.0,100,10.0,100
2,0.72,0.44,0.0,0.45,-0.1,0.0,200,2.0,200
3,0.64,0.28,0.0,0.55,0.1,0.0,300,12.0,300
4,0.56,0.12,0.0,0.54,0.08,0.0,400,20.0,400
5,0.52,0.04,0.0,0.45,-0.1,0.0,500,10.0,500
6,0.48,-0.04,0.0,0.52,0.04,0.0,600,12.0,600
7,0.64,0.28,0.0,0.44,-0.12,0.0,700,0.0,700
8,0.76,0.52,0.0,0.45,-0.1,0.0,800,-10.0,800
9,0.48,-0.04,0.0,0.56,0.12,0.0,900,2.0,900
10,0.6,0.2,0.0,0.55,0.1,0.0,1000,14.0,1000
11,0.44,-0.12,0.0,0.44,-0.12,0.0,1100,0.0,1100
12,0.52,0.04,0.0,0.49,-0.02,0.0,1200,0.0,1200
13,0.52,0.04,0.0,0.44,-0.12,0.0,1300,-12.0,1300
14,0.48,-0.04,0.0,0.44,-0.12,0.0,1400,-26.0,1400
15,0.6,0.2,0.0,0.57,0.14,0.0,1500,-10.0,1500
16,0.6,0.2,0.0,0.49,-0.02,0.0,1600,-14.0,1600
17,0.64,0.28,0.0,0.54,0.08,0.0,1700,-6.0,1700
18,0.44,-0.12,0.0,0.5,0.0,0.0,1800,-4.0,1800
19,0.76,0.52,0.0,0.46,-0.08,0.0,1900,-14.0,1900
20,0.4,-0.2,0.0,0.57,0.14,0.0,2000,0.0,2000
21,0.36,-0.28,0.0,0.45,-0.1,0.0,2100,-10.0,2100
22,0.64,0.28,0.0,0.57,0.14,0.0,2200,6.0,2200
23,0.52,0.04,0.0,0.53,0.06,0.0,2300,12.0,2300
24,0.56,0.12,0.0,0.47,-0.06,0.0,2400,4.0,2400
25,0.52,0.04,0.0,0.51,0.02,0.0,2500,8.0,2500
26,0.6,0.2,0.0,0.49,-0.02,0.0,2600,6.0,2600
27,0.44,-0.12,0.0,0.53,0.06,0.0,2700,12.0,2700
28,0.48,-0.04,0.0,0.54,0.08,0.0,2800,20.0,2800
29,0.64,0.28,0.0,0.44,-0.12,0.0,2900,8.0,2900
30,0.52,0.04,0.0,0.48,-0.04,0.0,3000,2.0,3000
31,0.56,0.12,0.0,0.49,-0.02,0.0,3100,0.0,3100
32,0.6,0.2,0.0,0.53,0.06,0.0,3200,6.0,3200
33,0.4,-0.2,0.0,0.49,-0.02,0.0,3300,4.0,3300
34,0.52,0.04,0.0,0.5,0.0,0.0,3400,6.0,3400
35,0.56,0.12,0.0,0.48,-0.04,0.0,3500,0.0,3500
36,0.48,-0.04,0.0,0.48,-0.04,0.0,3600,-2.0,3600
37,0.6,0.2,0.0,0.47,-0.06,0.0,3700,-8.0,3700
